CallNumber,Author,Title,ISBN,PubName,PubYear,CB
JX4422.N4 H34,Ali A El-Hakim,The Middle Eastern States and the law of the sea ,0719007119 : £19.50;9780719007118,Manchester : Manchester University Press,1979,no
E29.M87 M87,edited  Earle H Waugh, Baha Abu-Laban, and Regula B Qureshi,The Muslim community in North America ,0888640331;9780888640338;088864034X;9780888640345;0886640031,no
JX1954 .R22,Mohamed Rabie,The new world order : a perspective on the post-Cold War era ,053310033X;9780533100330,New York : Vantage Press,1992,no
E876 .F74,Mohamed Rabie,The octopus eagle an inside account of Iranscam,933703996,Florida : Loiry Publishing House,1987,no
E876 .F74,Michael Fredericks,The octopus eagle : an inside account of Iranscam ,0933703996;9780933703995,Tallahassee,1987,no
JQ1849.A98 S4934,Hanna Batatu,The old social classes and the revolutionary movements of Iraq : a study of Iraq's old landed and commercial classes and of its Communists Baʻthists and Free Officers ,0863565204;9780863565205,London : Saqi,2004,no
JQ1825.I773 S49,Hanna Batatu,The old social classes and the revolutionary movements of Iraq : a study of Iraq's old landed and commercial classes and of its Communists Ba䨩sts and Free Officers ,0691021988;9780691021980;0691052417;9780691052410,Princeton,1982,no
E872 .P68,Jody Powell,The other side of the story ,0688036465;9780688036461,New York : Morrow,1984,no
JX4084.I8 S28,Harold H Saunders,The other walls : the Arab-Israeli peace process in a global perspective ,0691023379;9780691023373;0691078882;9780691078885;SBBT650963,Princeton,1991,no
JX4084.I8 N37,Jamal R Nassar,The Palestine Liberation Organization : from armed struggle to the Declaration of Independence ,0275937798;9780275937799,New York : Praeger,1991,no
E183.8.I7 B35,George W Ball and Douglas B Ball,The passiote attachment : America's involvement with Israel; 1947 to the present ,0393029336;9780393029338,Norton,1992,yes
JQ1825.P3 B4,By marver H Bernstein,The politics of Israel : the first decade of statehood ,0837120365;9780837120362,Princeton : Princeton University Press,1957,no
JS7006 .S32,[] P Saran,The provincial government of the Mughals 1526-1658 ,0210226900;9780210226902,New York : Asia Pub House,1973,no
E840 .N57,Richard Nixon,The real war ,044651201X,New York : Warner Books,1980,no
E183.8.P18 R43,editors, Theodore L Eliot, Jr [and others],The Red Army on Pakistan's border : policy implications for the United States ,0080344879;9780080344874,no
JX1246 .S47,Geoff Simons,The scourging of Iraq : sanctions law and natural justice ,0333654234;9780333654231;0312161824;9780312161828,Houndmills,1996,no
JQ17,Ali Rahnema and Farhad Nomani,The secular miracle : religion politics and economic policy in Iran ,0862329388;9780862329389;0862329396;9780862329396,London ; New Jersey : Zed Books,1.A1,no
JQ1825.P36 O77,Akiva Orr,The unJewish state : the politics of Jewish identity in Israel ,0903729865;9780903729864;0903729857;9780903729857,London : Ithaca Press,.O77,no
JQ3824 .A98,Nazih N Ayubi,The state and public policies in Egypt since Sadat ,0863721311;9780863721311,Reading,1991,no
E184.S98 K33,Philip M Kayal and Joseph M Kayal, foreword  Michael Novak,The Syrian-Lebanese in America  a study in religion and assimilation ,0805784128;9780805784121,[New York] : Twayne Publishers,no
E876 .U558,John Tower, chairman ; Edmund Muskie and Brent Scowcroft, members ; introduction  RW Apple," Jr""",Report of the President's Special Review Board+The Tower Commission report : the full text of the President's Special Review Board ,no
JX1977.2.I7 U554,with an introduction  Boutros Boutros-Ghali,The United Nations and the Iraq-Kuwait conflict 1990-1996 ,9211005965;9789211005967;Sales-Nr.: E 96 I 3,New York : Department of Public Information,1996,no
E183.8.I7 S52,Mohammed K Shadid,The United States and the Palestinians ,0312833156;9780312833152,New York : St Martin's Press,1981,no
E183.8.I55 G66,James F Goode,The United States and Iran; 1946-51 : the diplomacy of neglect ,0333471032;9780333471036,Macmillan,1989,yes
E183.8.I7 B46,Abraham Ben-Zvi,The United States and Israel : the limits of the special relationship ,0231081847;9780231081849,Columbia UP,1993,yes
E183.8.S25 L66,David E Long,The United States and Saudi Arabia : ambivalent allies ,0813302080;9780813302089;ZBWT00027332,Boulder : Westview Press,1985,no
JQ559.A54 N37,Seyyed Vali Reza Nasr,The vanguard of the Islamic revolution : the Jamaʻat-i Islami of Pakistan ,0520083687;9780520083684;0520083695;9780520083691,Berkeley : University of California Press,1994,no
JQ629.A98 J363,Seyyed Vali Reza Nasr,The vanguard of the Islamic revolution : the Jamaʻat-i Islami of Pakistan ,1850438633;9781850438632;1850438641;9781850438649,London ; New York : IB Tauris,1994,no
JQ3898.W3,Janice J Terry,The Wafd 1919-1952 : cornerstone of Egyptian political power ,0861990005;9780861990009,London : Third World Centre for Research and Pub,1982,no
JQ1780 .L35,AKS Lambton,Theory and practice in medieval Persian government ,0860780678;9780860780670,London : Variorum Reprints,1980,no
JN1088 .T753,Jonathan Boyd Hunt,Trial by conspiracy ,0473051230;9780473051235,Auckland ; London : GreeNZone,1998,no
JK468.I6 G58,Donald Goddard with Lester K Coleman,Trail of the octopus : from Beirut to Lockerbie--inside the DIA ,074751562X;9780747515623,London,1993,no
