child,parent,description_child,description_parent,title,author,isbn,pubname,pubyear
ja100asc,ja100,JA100ASC,JA100,A Stata companion for the third edition of the Fundamentals of political science research , Paul M. Kellstedt,1108447961; 9781108447966,Cambridge University Press,2020
ja100eae,ja100,JA100EAE,JA100,Exits and entrances : political research as a creative art , Lewis. Minkin,9780863396366; 0863396364,Sheffield Hallam UP,1997
ja100ndi,ja100,JA100NDI,JA100,New directions in political science : responding to the challenges of an interdependent world , Lewis. Minkin,0230228488; 9780230228481; 0230228496; 9780230228498,Palgrave Macmillan,2010
ja100pam,ja100,JA100PAM,JA100,Problems and methods in the study of politics , Lewis. Minkin,9780521831741; 0521831741; 9780521539432; 0521539439,Cambridge University Press,2004
ja100ps,ja100,JA100PS,JA100,Political science : the state of the discipline , Lewis. Minkin,9781878147080; 1878147080,American Political Science Assoc,1993
ja100dp,ja100,JA100DP,JA100,Decolonizing politics : an introduction , Robbie Shilliam,1509539387; 9781509539383; 1509539395; 9781509539390,Polity Press,2021
ja100aps,ja100,JA100APS,JA100,American political science : a profile of a discipline , Albert. Somit,,Atherton Press,1964
ja100ctp,ja100,JA100CTP,JA100,Capturing the political imagination : think tanks and the policy process , Diane. Stone,9780714642635; 0714642630,Frank Cass,1996
ja100aso,ja100,JA100ASO,JA100,A survey of research in political science., Diane. Stone,,Allied Publishers,1981
ja100spa,ja100,JA100SPA,JA100,Studying politics abroad : field research in the developing areas , Diane. Stone,,Little Brown,1964
ja500wa,ja500,JA500WA,JA500,Women : a modern political dictionary , Cheryl. Law,9781860645020; 186064502X,I B Tauris,2000
ja500lot,ja500,JA500LOT,JA500,Leaders of the communist world , Cheryl. Law,,Free P,1971
ja500lsd,ja500,JA500LSD,JA500,Lexikon sozialistischer deutscher Literatur., Cheryl. Law,,VEB Verlag Sprache und Literatur,1962
ja500wwi,ja500,JA500WWI,JA500,Who's who in world politics : from 1860 to the present day , Alan Palmer,9780415131629; 0415131626,Routledge,1996
ja500bdo,ja500,JA500BDO,JA500,Biographical dictionary of the extreme right since 1890 , Philip. Rees,9780710810199; 0710810199,Harvester Wheatsheaf,1990
ja520dot,ja500,JA520DOT,JA500,Dictionary of the United States Congress , C. Lanman,,Government Printing Office,1866
ja520ocd,ja500,JA520OCD,JA500,Official congressional directory : 93rd congress; 1st session; convened Jan. 3rd 1973.,undefined United States. Congress.,,USGPO,1973
ja520ocd,ja500,JA520OCD,JA500,Official congressional directory : 97th congress; convened January 5th 1981.,undefined United States. Congress.,,USGPO,1981
ja520ocd,ja500,JA520OCD,JA500,Official congressional directory for the use of the United States Congress : 83rd congress; 2nd session.,undefined United States. Congress.,,USGPO,1954
ja520ocd,ja500,JA520OCD,JA500,Official congressional directory for the use of the United States Congress : 89th congress; 1st session.,undefined United States. Congress.,,USGPO,1965
ja520tus,ja500,JA520TUS,JA500,The United States Congressional directories; 1789-1840 ,undefined United States. Congress.,,Columbia UP,1973
