CallNumber,Author,Title,ISBN,PubName,PubYear,CB
JA 000 Mul, Geoff. Mulgan,Politics in an antipolitical age ,9780745608136; 0745608132,Polity P,1994,no
JA 000 NEW, Geoff. Mulgan,A new handbook of political science ,9780198280156; 0198280157; 9780198294719; 0198294719,Oxford University Press,1996,no
JA 000 NON, Geoff. Mulgan,Nongovernmental politics ,1890951757; 9781890951757; 1890951749; 9781890951740,Distributed by MIT Press; Zone Books,2007,no
JA 000 NOR, Anne Norton,95 theses on politics; culture; and method ,9780300100112; 0300100116,Yale University Press,2004,no
JA 000 Nat, Anne Norton,The nature of political theory ,9780198274414; 0198274416,Clarendon P,1983,no
JA 000 OXF, Anne Norton,The Oxford handbook of political science ,0199562954; 9780199562954,Oxford University Press,2009,no
JA 000 POL, Anne Norton,Political innovation and conceptual change ,9780521351904; 0521351901; 9780521359788; 0521359783,Cambridge University Press,1989,no
JA 000 POL, Anne Norton,The politics companion ,9781861057969; 1861057962,Robson,2004,no
JA 000 POL, Philip H. Pollock,A Stata companion to political analysis ,1506379702; 9781506379708,SAGE/CQ Press,2019,no
JA 000 Pol, Dorothy Maud. Pickles,Political economy : institutions; competition and representation : proceedings... ,9780521417815; 0521417813,CUP,1993,no
